"","Kingdom","Species","in3_0","Kingdom_new","Species_new","Source","Description","Description2","CBD_subcategory","CBD_pathway","CBD_Mechanism","Direct_or_Indirect","Primary_or_Secondary","CountrySpecific","RemovePathways","Checkedby_00","Checkedby","Double_checkedby","Notes"
"282","Plantae","Tithonia diversifolia","yes","Plantae","Tithonia diversifolia","CABI","Forage (pathway cause)","Forage","Agriculture","Escape","Movement of COMMODITY","Direct","Primary","N","No",NA,"Ana Novoa",NA,NA
"283","Plantae","Ulex europaeus","yes","Plantae","Ulex europaeus","CABI","Forage","Forage","Agriculture","Escape","Movement of COMMODITY","Indirect","Primary","N","No",NA,"Ana Novoa",NA,NA
"284","Plantae","Ulex europaeus","No","Plantae","Ulex europaeus","CABI","Forage","Forage","Agriculture","Escape","Movement of COMMODITY","Indirect","Primary","N","No",NA,"Anna",NA,NA
"285","Plantae","Asparagus asparagoides",NA,"Plantae","Asparagus asparagoides","CABI","Aircraft","Aircraft","Airplane","Stowaway","VECTOR","Direct","Secondary",NA,NA,"Anna","Anna",NA,NA
"286","Animalia","Homarus americanus","4.0999999999999996","Animalia","Homarus americanus","CABI","Aircraft","Aircraft","Airplane","Stowaway","VECTOR","Direct","Secondary",NA,NA,NA,"Anna",NA,NA
"287","Animalia","Micropterus salmoides","yes","Animalia","Micropterus salmoides","CABI","Aircraft (pathway vector)","Airplane","Airplane","Stowaway","VECTOR","Direct","Secondary",NA,"No",NA,"Phil",NA,NA
"288",NA,"Nasutitermes corniger",NA,"Animalia","Nasutitermes corniger","CABI","Hitchhikers in or on airplane","Airplane","Airplane","Stowaway","VECTOR","Direct","Primary","No","No",NA,NA,NA,NA
"289","Animalia","Nasutitermes corniger","No","Animalia","Nasutitermes corniger","Blumenfeld, A.J., Vargo, E.L. Geography, opportunity and bridgeheads facilitate termite invasions to the United States. Biol Invasions 22, 3269–3282 (2020). https://doi.org/10.1007/s10530-020-02322-5","Hitchhikers in or on airplane","Airplane","Airplane","Stowaway","VECTOR","Direct","Primary","No","No",NA,NA,NA,NA
"290","Animalia","Anastrepha fraterculus","yes","Animalia","Anastrepha fraterculus","CABI","Aircraft (pathway vector)","Vehicles","Airplane","Stowaway","VECTOR","Direct","Secondary","No","No","Anna","Anna",NA,NA
"291","Animalia","Anoplolepis gracilipes","yes","Animalia","Anoplolepis gracilipes","CABI","Aircraft (pathway vector)","Vehicles","Airplane","Stowaway","VECTOR","Direct","Primary","No","No","Anna","Anna",NA,NA
"292","Animalia","Bactrocera cucurbitae","yes","Animalia","Bactrocera cucurbitae","CABI","Aircraft (pathway vector)","Vehicles","Airplane","Stowaway","VECTOR","Direct","Secondary","No","No","Anna","Anna",NA,NA
"293","Animalia","Bactrocera dorsalis","No","Animalia","Bactrocera dorsalis","CABI","Aircraft (pathway vector)","Vehicles","Airplane","Stowaway","VECTOR","Direct","Primary","No","No","Anna","Anna",NA,NA
"294","Animalia","Bactrocera dorsalis","yes","Animalia","Bactrocera dorsalis","CABI","Aircraft (pathway vector)","Vehicles","Airplane","Stowaway","VECTOR","Direct","Primary","No","No","Anna","Anna",NA,NA
"295","Plantae","Carpobrotus edulis","yes","Plantae","Carpobrotus edulis","CABI","Aircraft (pathway vector)","Vehicles","Airplane","Stowaway","VECTOR","Direct","Secondary","No","No",NA,"Emma",NA,NA
"296","Animalia","Coptotermes formosanus","No","Animalia","Coptotermes formosanus","CABI","Land vehicles","Vehicles","Airplane","Stowaway","VECTOR","Direct","Primary","No","No",NA,"Anna",NA,NA
"297",NA,"Coptotermes formosanus","No","Animalia","Coptotermes formosanus","CABI","Land vehicles","Vehicles","Airplane","Stowaway","VECTOR","Direct","Primary","No","No",NA,"Anna",NA,NA
"298","Animalia","Coptotermes gestroi","No","Animalia","Coptotermes formosanus","CABI (based on Coptotermes)","Land vehicles","Vehicles","Airplane","Stowaway","VECTOR","Direct","Primary","No","No",NA,"Anna",NA,NA
"299","Animalia","Cydalima perspectalis","yes","Animalia","Cydalima perspectalis","CABI","Aircraft (pathway vector)","Vehicles","Airplane","Stowaway","VECTOR","Direct","Secondary","No","No",NA,"Emma",NA,NA
"300","Animalia","Drosophila suzukii","yes","Animalia","Drosophila suzukii","CABI","Aircraft (pathway vector)","Vehicles","Airplane","Stowaway","VECTOR","Direct","Secondary","No","No",NA,"Anna",NA,NA
"301","Animalia","Drosophila suzukii","No","Animalia","Drosophila suzukii","CABI","Aircraft (pathway vector)","Vehicles","Airplane","Stowaway","VECTOR","Direct","Secondary","No","No",NA,"Anna",NA,NA
"302","Animalia","Erionota thrax","yes","Animalia","Erionota thrax","CABI","Aircraft (pathway vector)","Vehicles","Airplane","Stowaway","VECTOR","Direct","Primary","No","No",NA,"Anna",NA,NA
"303","Animalia","Erionota thrax","yes","Animalia","Erionota thrax","CABI","Aircraft / Bulk freight or cargo / Land vehicles / Hitchhiker","Vehicles","Airplane","Stowaway","VECTOR","Direct","Primary","No","No",NA,"Anna",NA,NA
"304","Animalia","Gonipterus platensis","No","Animalia","Gonipterus platensis","CABI","Land vehicles","Vehicles","Airplane","Stowaway","VECTOR","Direct","Primary",NA,"No",NA,"Anna",NA,NA
"305","Animalia","Halyomorpha halys","yes","Animalia","Halyomorpha halys","CABI","Aircraft (pathway vector)","Vehicles","Airplane","Stowaway","VECTOR","Direct","Primary","No","No",NA,"Anna",NA,NA
"306","Animalia","Halyomorpha halys","No","Animalia","Halyomorpha halys","CABI","Aircraft (pathway vector)","Vehicles","Airplane","Stowaway","VECTOR","Direct","Primary","No","No",NA,"Phil",NA,NA
"307","Plantae","Heracleum mantegazzianum","No","Plantae","Heracleum mantegazzianum","CABI","Aircraft (pathway vector)","Vehicles","Airplane","Stowaway","VECTOR","Direct","Secondary","No","No",NA,"Anna",NA,NA
"308","Plantae","Heracleum mantegazzianum","yes","Plantae","Heracleum mantegazzianum","CABI","Aircraft (pathway vector)","Vehicles","Airplane","Stowaway","VECTOR","Direct","Secondary","No","No",NA,"Anna",NA,NA
"309","Plantae","Mikania micrantha","yes","Plantae","Mikania micrantha","CABI","Aircraft (pathway vector)","Vehicles","Airplane","Stowaway","VECTOR","Direct","Secondary","No","No",NA,"Anna",NA,NA
"310","Plantae","Mimosa diplotricha","No","Plantae","Mimosa diplotricha","CABI","Land vehicles","Vehicles","Airplane","Stowaway","VECTOR","Direct","Secondary","No","No",NA,"Anna",NA,NA
"311","Animalia","Phenacoccus solenopsis","yes","Animalia","Phenacoccus solenopsis","CABI","Aircraft (pathway vector)","Vehicles","Airplane","Stowaway","VECTOR","Direct","Primary","No","No",NA,"Phil",NA,NA
"312","Plantae","Solanum viarum","No","Plantae","Solanum viarum","CABI","Land vehicles","Vehicles","Airplane","Stowaway","VECTOR","Direct","Secondary","No","No",NA,"Anna",NA,NA
"313","Plantae","Sorghum halepense","yes","Plantae","Sorghum halepense","CABI","Aircraft (pathway vector)","Vehicles","Airplane","Stowaway","VECTOR","Direct","Secondary","N","No",NA,"Ana Novoa",NA,NA
"314","Plantae","Tithonia diversifolia","yes","Plantae","Tithonia diversifolia","CABI","Aircraft (pathway vector)","Vehicles","Airplane","Stowaway","VECTOR","Direct","Secondary","N","No",NA,"Ana Novoa",NA,NA
"315","Animalia","Pseudorasbora parva","yes","Animalia","Pseudorasbora parva","CABI","Agriculture","Agricultural Practices","Aquaculture","Escape","Movement of COMMODITY","Direct","Primary","No","No",NA,"Phil",NA,NA
"316","Animalia","Cyprinus carpio","yes","Animalia","Cyprinus carpio","CABI","Animal production (pathway cause)","Animal production","Aquaculture","Escape","Movement of COMMODITY","Direct","Secondary","No","No",NA,"Emma",NA,NA
"317","Animalia","Ameiurus nebulosus","yes","Animalia","Ameiurus nebulosus","CABI","Aquaculture (pathway cause)","Aquaculture","Aquaculture","Escape","Movement of COMMODITY","Direct","Primary","No","No","Anna","Anna",NA,NA
"318","Animalia","Amphibalanus improvisus",NA,"Animalia","Amphibalanus improvisus","CABI","Aquaculture","Aquaculture","Aquaculture","Escape","Movement of COMMODITY","Indirect","Secondary",NA,NA,NA,NA,NA,NA
"319","Animalia","Artemia franciscana","No","Animalia","Artemia franciscana","Muñoz, J., Gómez, A., Figuerola, J., Amat, F., Rico, C. and Green, A.J., 2014. Colonization and dispersal patterns of the invasive American brine shrimp Artemia franciscana (Branchiopoda: Anostraca) in the Mediterranean region. Hydrobiologia, 726(1), pp.25-41.","Aquaculture","Aquaculture","Aquaculture","Escape","Movement of COMMODITY","Direct","Secondary","No","No","Anna","Anna",NA,NA
"320","Plantae","Cabomba caroliniana","yes","Plantae","Cabomba caroliniana","GISD","Aquaculture","Aquaculture","Aquaculture","Escape","Movement of COMMODITY","Direct","Secondary","No","No","Emma","Emma",NA,NA
"321","Plantae","Cabomba caroliniana","yes","Plantae","Cabomba caroliniana","GISD","Aquaculture","Aquaculture","Aquaculture","Escape","Movement of COMMODITY","Direct","Primary","Yes","No","Emma","Emma",NA,NA
"322","Animalia","Carcinus maenas","yes","Animalia","Carcinus maenas","CABI","Aquaculture (pathway cause)","Aquaculture","Aquaculture","Escape","Movement of COMMODITY","Indirect","Secondary","No","No","Melina","Melina","Y",NA
"323","Animalia","Ciona intestinalis","yes","Animalia","Ciona intestinalis","CABI","Aquaculture (pathway cause)","Aquaculture","Aquaculture","Escape","Movement of COMMODITY","Indirect","Primary","Yes","No",NA,"Emma",NA,NA
"324","Plantae","Codium fragile","yes","Plantae","Codium fragile","CABI","Aquaculture","Aquaculture","Aquaculture","Escape","Movement of COMMODITY","Direct","Primary","No","No",NA,"Emma",NA,NA
"325","Animalia","Coptodon zillii","yes","Animalia","Coptodon zillii","CABI","Aquaculture","Aquaculture","Aquaculture","Escape","Movement of COMMODITY","Direct","Primary","No","No",NA,"Emma",NA,NA
"326","Animalia","Cyprinus carpio","No","Animalia","Cyprinus carpio","CABI","Aquaculture","Aquaculture","Aquaculture","Escape","Movement of COMMODITY","Direct","Primary","No","No","Phil",NA,NA,NA
"327","Animalia","Cyprinus carpio","yes","Animalia","Cyprinus carpio","CABI","Aquaculture (pathway cause)","Aquaculture","Aquaculture","Escape","Movement of COMMODITY","Direct","Primary","No","No",NA,"Emma",NA,NA
"328","Animalia","Faxonius limosus",NA,"Animalia","Faxonius limosus","CABI","Aquaculture","Aquaculture","Aquaculture","Escape","Movement of COMMODITY","Direct","Primary",NA,NA,NA,"Anna",NA,NA
"329","Animalia","Homarus americanus","4.0999999999999996","Animalia","Homarus americanus","CABI","Aquaculture","Aquaculture","Aquaculture","Escape","Movement of COMMODITY","Direct","Primary",NA,NA,NA,"Anna",NA,NA
"330","Animalia","Lepomis macrochirus","yes","Animalia","Lepomis macrochirus","CABI","Aquaculture (pathway cause)","Aquaculture","Aquaculture","Escape","Movement of COMMODITY","Direct","Secondary","No","No","Melina","Melina",NA,NA
"331","Animalia","Limnoperna fortunei","yes","Animalia","Limnoperna fortunei","CABI","Aquaculture","Aquaculture","Aquaculture","Escape","Movement of COMMODITY","Direct","Primary","No*","No",NA,"Melina","Specific pathway attributed to introduction in Japan",NA
"332","Animalia","Limnoperna fortunei","No","Animalia","Limnoperna fortunei","CABI","Aquaculture","Aquaculture","Aquaculture","Escape","Movement of COMMODITY","Direct","Primary","No*","No",NA,"Anna","Specific pathway attributed to introduction in Japan",NA
"333","Animalia","Lithobates catesbeianus","yes","Animalia","Lithobates catesbeianus","GISD","Aquaculture","Aquaculture","Aquaculture","Escape","Movement of COMMODITY","Direct","Primary","No","No",NA,"Anna",NA,NA
"334","Animalia","Lithobates catesbeianus","No","Animalia","Lithobates catesbeianus","GISD","Aquaculture","Aquaculture","Aquaculture","Escape","Movement of COMMODITY","Direct","Primary","No","No",NA,"Phil",NA,NA
"335","Plantae","Ludwigia grandiflora","yes","Plantae","Ludwigia grandiflora","CABI","Aquaculture","Aquaculture","Aquaculture","Escape","Movement of COMMODITY","Direct","Primary","No","No",NA,"Anna",NA,NA
"336","Plantae","Ludwigia peploides","yes","Plantae","Ludwigia peploides","CABI","Aquaculture (pathway cause)","Aquaculture","Aquaculture","Escape","Movement of COMMODITY","Direct","Secondary","No","No",NA,"Anna",NA,NA
"337","Animalia","Magallana gigas","4.0999999999999996","Animalia","Magallana gigas","CABI","Aquaculture","Aquaculture","Aquaculture","Escape","Movement of COMMODITY","Direct","Primary","No","No",NA,"Anna",NA,NA
"338","Animalia","Micropterus salmoides","yes","Animalia","Micropterus salmoides","CABI","Aquaculture (pathway cause)","Aquaculture","Aquaculture","Escape","Movement of COMMODITY","Direct","Primary",NA,"No",NA,"Phil",NA,NA
"339","Plantae","Myriophyllum spicatum","yes","Plantae","Myriophyllum spicatum","CABI","Aquaculture (pathway cause)","Aquaculture","Aquaculture","Escape","Movement of COMMODITY","Indirect","Secondary","No","No",NA,"Anna",NA,NA
"340","Plantae","Myriophyllum spicatum","No","Plantae","Myriophyllum spicatum","CABI","Aquaculture (pathway cause)","Aquaculture","Aquaculture","Escape","Movement of COMMODITY","Indirect","Secondary","No","No",NA,"Anna",NA,NA
"341","Animalia","Pacifastacus leniusculus","No","Animalia","Pacifastacus leniusculus","GISD","Aquaculture","Aquaculture","Aquaculture","Escape","Movement of COMMODITY","Direct","Primary",NA,"No",NA,"Anna",NA,NA
"342","Animalia","Pacifastacus leniusculus","yes","Animalia","Pacifastacus leniusculus","GISD","Aquaculture","Aquaculture","Aquaculture","Escape","Movement of COMMODITY","Direct","Primary",NA,"No",NA,"Phil",NA,NA
"343","Plantae","Pistia stratiotes","No","Plantae","Pistia stratiotes","CABI","Aquaculture (pathway cause)","Aquaculture","Aquaculture","Escape","Movement of COMMODITY","Direct","Secondary","No","No",NA,NA,NA,NA
"344","Animalia","Pomacea canaliculata","yes","Animalia","Pomacea canaliculata","CABI","Aquaculture","Aquaculture","Aquaculture","Escape","Movement of COMMODITY","Direct","Primary","No","No",NA,"Phil",NA,NA
"345","Animalia","Pomacea maculata","yes","Animalia","Pomacea maculata","CABI","Aquaculture (pathway cause)","Aquaculture","Aquaculture","Escape","Movement of COMMODITY","Direct","Primary","No","No",NA,"Phil",NA,NA
"346","Animalia","Pomacea maculata","No","Animalia","Pomacea maculata","CABI","Aquaculture (pathway cause)","Aquaculture","Aquaculture","Escape","Movement of COMMODITY","Direct","Primary","No","No",NA,"Anna",NA,NA
"347","Animalia","Procambarus clarkii","yes","Animalia","Procambarus clarkii","GISD","Aquaculture","Aquaculture","Aquaculture","Escape","Movement of COMMODITY","Direct","Primary","No","No",NA,"Melina",NA,NA
"348","Animalia","Procambarus clarkii","No","Animalia","Procambarus clarkii","GISD","Aquaculture","Aquaculture","Aquaculture","Escape","Movement of COMMODITY","Direct","Primary","No","No",NA,"Anna",NA,NA
"349","Plantae","Salvinia molesta","yes","Plantae","Salvinia molesta","CABI","Aquaculture","Aquaculture","Aquaculture","Escape","Movement of COMMODITY","Direct","Primary","No","No",NA,"Anna",NA,NA
"350","Plantae","Salvinia molesta","No","Plantae","Salvinia molesta","CABI","Aquaculture","Aquaculture","Aquaculture","Escape","Movement of COMMODITY","Direct","Primary","No","No",NA,NA,NA,NA
"351","Animalia","Sander lucioperca","yes","Animalia","Sander lucioperca","CABI","Aquaculture (pathway cause)","Aquaculture","Aquaculture","Escape","Movement of COMMODITY","Direct","Primary","No","No",NA,"Melina",NA,NA
"352","Chromista","Sargassum muticum","yes","Chromista","Sargassum muticum","CABI","Aquaculture","Aquaculture","Aquaculture","Escape","Movement of COMMODITY","Indirect","Primary","No","No",NA,"Anna",NA,NA
"353","Animalia","Silurus glanis","yes","Animalia","Silurus glanis","CABI","Aquaculture (pathway cause)","Aquaculture","Aquaculture","Escape","Movement of COMMODITY","Direct","Primary","N","No",NA,"Ana Novoa",NA,NA
"354","Animalia","Solenopsis invicta","yes","Animalia","Solenopsis invicta","GISD","Aquaculture","Aquaculture","Aquaculture","Escape","Movement of COMMODITY","Indirect","Primary","N","No",NA,"Ana Novoa",NA,NA
"355","Animalia","Solenopsis invicta","No","Animalia","Solenopsis invicta","GISD","Aquaculture","Aquaculture","Aquaculture","Escape","Movement of COMMODITY","Indirect","Primary","N","No",NA,"Anna",NA,NA
"356","Animalia","Styela clava","yes","Animalia","Styela clava","CABI","Aquaculture","Aquaculture","Aquaculture","Escape","Movement of COMMODITY","Indirect","Primary","N","No",NA,"Ana Novoa",NA,NA
"357","Animalia","Styela clava","No","Metazoa","Styela clava","CABI","Aquaculture","Aquaculture","Aquaculture","Escape","Movement of COMMODITY","Indirect","Primary","No","No",NA,"Ana Novoa",NA,NA
"358","Animalia","Styela clava","No","Metazoa","Styela clava","CABI","Aquaculture","Aquaculture","Aquaculture","Escape","Movement of COMMODITY","Indirect","Primary","N","No",NA,"Anna",NA,NA
"359","Chromista","Undaria pinnatifida",NA,"Chromista","Undaria pinnatifida","CABI","Aquaculture (pathway cause)","Aquaculture","Aquaculture","Escape","Movement of COMMODITY","Direct","Primary",NA,NA,NA,NA,NA,NA
"360","Plantae","Xanthium spinosum","No","Plantae","Xanthium spinosum","CABI","Aquaculture (pathway cause)","Aquaculture","Aquaculture","Escape","Movement of COMMODITY","Indirect","Primary","N","No",NA,NA,NA,NA
"361","Plantae","Xanthium spinosum","yes","Plantae","Xanthium spinosum","CABI","Aquaculture (pathway cause)","Aquaculture","Aquaculture","Escape","Movement of COMMODITY","Indirect","Primary","N","No",NA,"Ana Novoa",NA,NA
"362","Animalia","Ameiurus nebulosus","yes","Animalia","Ameiurus nebulosus","CABI","Aquaculture stock (pathway vector)","Aquaculture stock","Aquaculture","Escape","Movement of COMMODITY","Direct","Primary","No","No","Anna","Anna",NA,NA
"363","Fungi","Batrachochytrium dendrobatidis","yes","Fungi","Batrachochytrium dendrobatidis","CABI","Aquaculture stock","Aquaculture stock","Aquaculture","Escape","Movement of COMMODITY","Indirect","Primary","No","No","Anna","Anna",NA,NA
"364","Animalia","Carcinus maenas","yes","Animalia","Carcinus maenas","CABI","Aquaculture stock (pathway vector)","Aquaculture stock","Aquaculture","Escape","Movement of COMMODITY","Indirect","Secondary","No","No","Melina","Melina","Y",NA
"365","Animalia","Ciona intestinalis","yes","Animalia","Ciona intestinalis","CABI","Aquaculture stock (pathway vector)","Aquaculture stock","Aquaculture","Escape","Movement of COMMODITY","Indirect","Primary","Yes","No",NA,"Emma",NA,NA
"366","Animalia","Cyprinus carpio","yes","Animalia","Cyprinus carpio","CABI","Aquaculture stock (pathway vector)","Aquaculture stock","Aquaculture","Escape","Movement of COMMODITY","Direct","Primary","No","No",NA,"Emma",NA,NA
"367","Animalia","Ficopomatus enigmaticus","yes","Animalia","Ficopomatus enigmaticus","CABI","Aquaculture stock (pathway vector)","Aquaculture stock","Aquaculture","Escape","Movement of COMMODITY","Indirect","Primary","No","No",NA,"Anna",NA,NA
"368","Animalia","Homarus americanus","4.0999999999999996","Animalia","Homarus americanus","CABI","Aquaculture stock","Aquaculture stock","Aquaculture","Escape","Movement of COMMODITY","Direct","Primary",NA,NA,NA,"Anna",NA,NA
"369","Animalia","Lepomis macrochirus","yes","Animalia","Lepomis macrochirus","CABI","Aquaculture stock (pathway vector)","Aquaculture stock","Aquaculture","Escape","Movement of COMMODITY","Direct","Secondary","No","No","Melina","Melina",NA,NA
"370","Animalia","Micropterus salmoides","yes","Animalia","Micropterus salmoides","CABI","Aquaculture stock (pathway vector)","Aquaculture stock","Aquaculture","Escape","Movement of COMMODITY","Direct","Primary",NA,"No",NA,"Phil",NA,NA
"371","Plantae","Myriophyllum spicatum","yes","Plantae","Myriophyllum spicatum","CABI","Aquaculture stock (pathway vector)","Aquaculture stock","Aquaculture","Escape","Movement of COMMODITY","Indirect","Secondary","No","No",NA,"Anna",NA,NA
"372","Plantae","Myriophyllum spicatum","No","Plantae","Myriophyllum spicatum","CABI","Aquaculture stock (pathway vector)","Aquaculture stock","Aquaculture","Escape","Movement of COMMODITY","Indirect","Secondary","No","No",NA,"Anna",NA,NA
"373","Plantae","Pistia stratiotes","No","Plantae","Pistia stratiotes","CABI","Aquaculture stock (pathway vector)","Aquaculture stock","Aquaculture","Escape","Movement of COMMODITY","Direct","Secondary","No","No",NA,NA,NA,NA
"374","Animalia","Pomacea maculata","yes","Animalia","Pomacea maculata","CABI","Aquaculture stock (pathway vector)","Aquaculture stock","Aquaculture","Escape","Movement of COMMODITY","Direct","Primary","No","No",NA,"Phil",NA,NA
"375","Animalia","Pomacea maculata","No","Animalia","Pomacea maculata","CABI","Aquaculture stock (pathway vector)","Aquaculture stock","Aquaculture","Escape","Movement of COMMODITY","Direct","Primary","No","No",NA,"Anna",NA,NA
"376","Animalia","Sander lucioperca","yes","Animalia","Sander lucioperca","CABI","Aquaculture stock (pathway vector)","Aquaculture stock","Aquaculture","Escape","Movement of COMMODITY","Direct","Primary","No","No",NA,"Melina",NA,NA
"377","Chromista","Undaria pinnatifida",NA,"Chromista","Undaria pinnatifida","CABI","Aquaculture Stock (pathway vector)","Aquaculture stock","Aquaculture","Escape","Movement of COMMODITY","Direct","Primary",NA,NA,NA,NA,NA,NA
"378","Animalia","Cyprinus carpio","yes","Animalia","Cyprinus carpio","CABI","Stocking (pathway cause)","Stocking","Aquaculture","Escape","Movement of COMMODITY","Direct","Secondary","No","No",NA,"Emma",NA,NA
"379","Animalia","Lepomis gibbosus","yes","Animalia","Lepomis gibbosus","CABI","Stocking (pathway cause)","Stocking","Aquaculture","Escape","Movement of COMMODITY","Direct","Secondary",NA,"No","Melina","Melina",NA,NA
"380","Animalia","Oncorhynchus mykiss","yes","Animalia","Oncorhynchus mykiss","CABI","Stocking (pathway cause)","Stocking","Aquaculture","Escape","Movement of COMMODITY","Direct","Primary",NA,"No",NA,"Phil",NA,NA
"381","Animalia","Pacifastacus leniusculus","No","Animalia","Pacifastacus leniusculus","CABI","Stocking (pathway cause)","Stocking","Aquaculture","Escape","Movement of COMMODITY","Direct","Primary",NA,"No",NA,"Anna",NA,NA
"382","Animalia","Pacifastacus leniusculus","yes","Animalia","Pacifastacus leniusculus","CABI","Stocking (pathway cause)","Stocking","Aquaculture","Escape","Movement of COMMODITY","Direct","Primary",NA,"No",NA,"Phil",NA,NA
"383","Animalia","Perca fluviatilis","yes","Animalia","Perca fluviatilis","CABI","Stocking (pathway cause)","Stocking","Aquaculture","Escape","Movement of COMMODITY","Direct","Primary","No","No",NA,"Melina",NA,NA
"384","Animalia","Tinca tinca",NA,"Animalia","Tinca tinca",NA,"Stocking (pathway cause)","Stocking","Aquaculture","Escape","Movement of COMMODITY","Direct","Primary",NA,NA,NA,"Emma",NA,NA
"385","Plantae","Alternanthera philoxeroides","yes","Plantae","Alternanthera philoxeroides","GISD","Ship ballast water","Ballast water","Ballast water","Stowaway","VECTOR","Direct","Primary","Yes","No","Anna","Anna",NA,NA
"386","Plantae","Alternanthera philoxeroides","yes","Plantae","Alternanthera philoxeroides","GISD","Ship ballast water","Ballast water","Ballast water","Stowaway","VECTOR","Direct","Primary","No","No","Anna","Anna",NA,NA
"387","Plantae","Alternanthera philoxeroides","No","Plantae","Alternanthera philoxeroides","GISD","Ship ballast water","Ballast water","Ballast water","Stowaway","VECTOR","Direct","Primary","No","No","Anna","Anna",NA,NA
"388","Plantae","Cabomba caroliniana","yes","Plantae","Cabomba caroliniana","GISD","Ship ballast water, biofouling","Ballast water","Ballast water","Stowaway","VECTOR","Direct","Secondary","No","No","Emma","Emma",NA,NA
"389","Animalia","Callinectes sapidus","yes","Animalia","Callinectes sapidus","CABI","Ship ballast water and sediment (pathway vector)","Ballast water","Ballast water","Stowaway","VECTOR","Direct","Primary","No","No",NA,"Emma",NA,NA
"390","Animalia","Carcinus maenas","yes","Animalia","Carcinus maenas","CABI","Ship ballast water and sediment (pathway vector)","Ballast water","Ballast water","Stowaway","VECTOR","Direct","Primary","No","No","Melina","Melina","Y",NA
"391","Plantae","Centaurea moncktonii","No","Plantae","Centaurea moncktonii","CABI","shipping ballast","Ballast water","Ballast water","Stowaway","VECTOR","Direct","Primary","No","No",NA,"Anna",NA,"https://www.cabi.org/isc/datasheet/113056#toidentity"
"392","Animalia","Ciona intestinalis","yes","Animalia","Ciona intestinalis","CABI","Ship ballast water and sediment (pathway vector)","Ballast water","Ballast water","Stowaway","VECTOR","Direct","Secondary","No","No",NA,"Emma",NA,NA
"393","Animalia","Ciona intestinalis","yes","Animalia","Ciona intestinalis","CABI","Ship bilge water (pathway vector)","Ballast water","Ballast water","Stowaway","VECTOR","Direct","Secondary","No","No",NA,"Emma",NA,NA
"394","Animalia","Corbicula fluminea","yes","Animalia","Corbicula fluminea","GISD","Ship ballast water, biofouling","Ballast water","Ballast water","Stowaway","VECTOR","Direct","Primary","No","No",NA,"Emma",NA,NA
"395","Animalia","Corbicula fluminea","No","Animalia","Corbicula fluminea","GISD","Ship ballast water, biofouling","Ballast water","Ballast water","Stowaway","VECTOR","Direct","Primary","No","No",NA,"Anna",NA,NA
"396","Animalia","Didemnum vexillum","yes","Animalia","Didemnum vexillum","CABI","Ship ballast water and sediment (pathway vector)","Ballast water","Ballast water","Stowaway","VECTOR","Direct","Primary","No","No",NA,"Emma","added",NA
"397","Animalia","Dikerogammarus villosus","yes","Animalia","Dikerogammarus villosus","CABI","Ship ballast water and sediment (pathway vector)","Ballast water","Ballast water","Stowaway","VECTOR","Direct","Secondary","No","No",NA,"Emma",NA,NA
"398","Animalia","Dreissena polymorpha","yes","Animalia","Dreissena polymorpha","GISD","Ship ballast water, biofouling","Ballast water","Ballast water","Stowaway","VECTOR","Direct","Primary","No","No",NA,"Anna",NA,NA
"399","Animalia","Dreissena polymorpha","No","Animalia","Dreissena polymorpha","GISD","Ship ballast water, biofouling","Ballast water","Ballast water","Stowaway","VECTOR","Direct","Primary","No","No",NA,"Anna",NA,NA
"400","Animalia","Ficopomatus enigmaticus","yes","Animalia","Ficopomatus enigmaticus","CABI","Ship ballast water and sediment (pathway vector)","Ballast water","Ballast water","Stowaway","VECTOR","Direct","Primary","No","No",NA,"Anna",NA,NA
"401","Plantae","Mesembryanthemum crystallinum","No","Plantae","Mesembryanthemum crystallinum","CABI","Ship ballast water and sediment","Ballast water","Ballast water","Stowaway","VECTOR","Direct","Secondary","No","No",NA,"Anna",NA,NA
"402","Plantae","Myriophyllum spicatum","yes","Plantae","Myriophyllum spicatum","GISD","Ship ballast water, biofouling","Ballast water","Ballast water","Stowaway","VECTOR","Direct","Secondary","No","No",NA,"Anna",NA,NA
"403","Plantae","Myriophyllum spicatum","No","Plantae","Myriophyllum spicatum","GISD","Ship ballast water, biofouling","Ballast water","Ballast water","Stowaway","VECTOR","Direct","Secondary","No","No",NA,"Anna",NA,NA
"404","Plantae","Osteospermum moniliferum","4.0999999999999996","Plantae","Chrysanthemoides monilifera","CABI","Ship ballast","Ballast water","Ballast water","Stowaway","VECTOR","Direct","Primary",NA,NA,NA,"Anna",NA,NA
"405","Animalia","Paralithodes camtschaticus","yes","Animalia","Paralithodes camtschaticus","CABI","Ship ballast water and sediment","Ballast water","Ballast water","Stowaway","VECTOR","Direct","Secondary","Yes","Yes",NA,"Melina",NA,"Suggested removing altogether this entry, it's not quite right and I know this invasion very well"
"406","Animalia","Petromyzon marinus","yes","Animalia","Petromyzon marinus","GISD","Ship ballast water, biofouling","Ballast water","Ballast water","Stowaway","VECTOR","Direct","Secondary","No","No",NA,"Melina",NA,NA
"407","Animalia","Petromyzon marinus","No","Animalia","Petromyzon marinus","GISD","Ship ballast water, biofouling","Ballast water","Ballast water","Stowaway","VECTOR","Direct","Secondary","No","No",NA,"Anna",NA,NA
"408","Plantae","Pistia stratiotes","No","Plantae","Pistia stratiotes","CABI","Ship ballast water and sediment (pathway vector)","Ballast water","Ballast water","Stowaway","VECTOR","Direct","Secondary","No","No",NA,NA,NA,NA
