"Species","Agriculture","Forestry","Fisheries","Health","ispathogen"
"Chrysobalanus icaco",NA,NA,NA,NA,"N"
"Crumenulopsis sororia",NA,"Negative",NA,NA,"Y"
"Squash leaf curl virus","exclude","exclude","exclude","exclude","exclude"
"Suncus murinus",NA,NA,NA,NA,"N"
"porcine epidemic diarrhea virus","exclude","exclude","exclude","exclude","exclude"
"Arterivirus","exclude","exclude","exclude","exclude","exclude"
"Tinca tinca",NA,NA,"Positive, Positive",NA,"N"
"Silurus asotus",NA,NA,NA,NA,"N"
"Corchorus hirtus",NA,NA,NA,NA,"N"
"Rift Valley fever virus","exclude","exclude","exclude","exclude","exclude"
"Cosmos caudatus",NA,NA,NA,NA,"N"
"Pseudomonas syringae pv. aesculi","exclude","exclude","exclude","exclude","exclude"
"Abbottina rivularis",NA,NA,"Negative",NA,"N"
"Hemibarbus labeo",NA,NA,NA,NA,"N"
"Hemibarbus maculatus",NA,NA,"Negative",NA,"N"
"Cirsium mexicanum","Negative",NA,NA,"Positive and negative","N"
"Citharexylum ellipticum",NA,NA,NA,NA,"N"
"Croton argenteus","Negative",NA,NA,NA,"N"
"Dalea scandens",NA,NA,NA,NA,"N"
"Dichanthium caricosum","Negative",NA,NA,NA,"N"
"Eichhornia paniculata","Negative",NA,NA,NA,"N"
"Rytidostylis carthagenensis",NA,NA,NA,"Positive","N"
"Euphorbia lactea","Negative",NA,NA,"Negative","N"
"Galphimia glauca",NA,NA,NA,"Positive","N"
"Ipomoea alba",NA,NA,NA,NA,"N"
"Kalanchoe integra","Negative",NA,NA,NA,"N"
"Leonurus sibiricus",NA,NA,NA,NA,"N"
"Leptochloa nealleyi","Negative",NA,NA,NA,"N"
"Myriophyllum pinnatum",NA,NA,NA,NA,"N"
"Neomarica caerulea",NA,NA,NA,NA,"N"
"Plectranthus amboinicus",NA,NA,NA,NA,"N"
"Trachypogon spicatus","Negative",NA,NA,NA,"N"
"Trimezia steyermarkii",NA,NA,NA,NA,"N"
"Triplaris americana",NA,NA,NA,NA,"N"
"East Asian Passiflora virus","exclude","exclude","exclude","exclude","exclude"
"Merremia tuberosa",NA,NA,NA,"Positive","N"
"Mesembryanthemum crystallinum",NA,NA,NA,NA,"Y"
"Lupinus angustifolius",NA,NA,NA,NA,"N"
"Morus alba",NA,NA,NA,NA,"N"
"Oryza longistaminata",NA,NA,NA,NA,"N"
"Oryza punctata","Negative","None","None, None","None","N"
"Cestrum elegans",NA,NA,NA,NA,"N"
"Nypa fruticans",NA,"Negative","Negative, Negative","Negative","Y"
"Amphisbaena fuliginosa",NA,NA,NA,"Negative","N"
"Sphaerodactylus vincenti",NA,NA,NA,"Negative","N"
"Jasminum fluminense",NA,NA,NA,NA,"N"
"Thaumatotibia leucotreta",NA,NA,NA,NA,"N"
"Areca catechu",NA,NA,NA,NA,"N"
"Lablab purpureus",NA,NA,NA,NA,"N"
"Belonolaimus longicaudatus","exclude","exclude","exclude","exclude","exclude"
"Nicandra physalodes",NA,NA,NA,NA,"N"
"Alternaria gaisen",NA,NA,NA,NA,"Y"
"Asystasia gangetica",NA,NA,NA,NA,"N"
"Metcalfa pruinosa",NA,NA,NA,NA,"Y"
"Oxalis latifolia",NA,NA,NA,NA,"N"
"Acacia colei",NA,NA,NA,NA,"N"
"Acacia confusa",NA,"None","None, None","None","N"
"fowl typhoid",NA,NA,NA,NA,"N"
"Eleutherodactylus coqui",NA,NA,NA,NA,"N"
"eastern equine encephalitis virus","exclude","exclude","exclude","exclude","exclude"
"Crimean-Congo hemorrhagic fever",NA,NA,NA,NA,"N"
"Crimean-Congo hemorrhagic fever virus","exclude","exclude","exclude","exclude","exclude"
"Escherichia coli","exclude","exclude","exclude","exclude","exclude"
"Cynodon nlemfuensis",NA,NA,NA,NA,"N"
"Chlamydophila psittaci",NA,NA,NA,NA,"N"
"Chlamydia trachomatis",NA,NA,NA,NA,"N"
"Chlamydophila pneumoniae",NA,NA,NA,NA,"N"
"contagious equine metritis",NA,NA,NA,NA,"N"
"contagious agalactia",NA,NA,NA,NA,"N"
"Tecia solanivora",NA,NA,NA,NA,"Y"
"Striga densiflora",NA,NA,NA,NA,"N"
"Solanum torvum",NA,NA,NA,NA,"Y"
"yellow head disease",NA,NA,NA,NA,"N"
"Strawberry vein banding virus","exclude","exclude","exclude","exclude","exclude"
"Tamarix canariensis",NA,"Negative","Negative, Negative","Negative","N"
"Tamarix gallica",NA,"Negative","Negative, Negative","Negative","N"
"Tamarix parviflora","Negative","Negative","Negative, Negative","None","N"
"Zelkova serrata",NA,NA,NA,NA,"N"
"Zeuzera pyrina",NA,NA,NA,NA,"N"
"Tropilaelaps","Negative",NA,NA,NA,"N"
"Canna x generalis",NA,NA,NA,NA,"N"
"Ensis directus",NA,NA,NA,NA,"N"
"Tabanidae",NA,NA,NA,NA,"N"
"Erschoviella musculana",NA,NA,NA,NA,"N"
"Fimbristylis dichotoma","Negative","None","Negative, Negative","None","N"
"Ipomoea cairica",NA,NA,NA,NA,"N"
"Ipomoea carnea",NA,NA,NA,NA,"N"
"Ipomoea triloba",NA,NA,NA,NA,"N"
"Holmskioldia sanguinea","Negative",NA,NA,NA,"N"
"Duponchelia fovealis",NA,"None","None, None","None","N"
"Haematoxylum campechianum",NA,NA,NA,NA,"N"
"Erythrina berteroana",NA,NA,NA,"Negative","N"
"Erythrina poeppigiana",NA,NA,NA,NA,"N"
"Heterodera ciceri","exclude","exclude","exclude","exclude","exclude"
"Pacifastacus leniusculus",NA,NA,"Positive, Positive",NA,"N"
"Lucania parva",NA,NA,NA,NA,"N"
"Hoplosternum littorale",NA,NA,NA,NA,"N"
"lumpy skin disease virus","exclude","exclude","exclude","exclude","exclude"
"Huso huso",NA,NA,NA,NA,"N"
"Perca fluviatilis",NA,NA,NA,NA,"N"
"infection with Perkinsus olseni",NA,NA,NA,NA,"N"
"Misgurnus anguillicaudatus",NA,NA,"Positive, Positive",NA,"N"
"Spiraea chamaedryfolia",NA,NA,NA,NA,"N"
"Euphorbia umbellata","Negative",NA,NA,"Negative","N"
"Burkholderia caryophylli","exclude","exclude","exclude","exclude","exclude"
"Ralstonia solanacearum race 1","exclude","exclude","exclude","exclude","exclude"
"Ralstonia solanacearum race 2","exclude","exclude","exclude","exclude","exclude"
"Schilbe mystus",NA,NA,NA,NA,"N"
"Barleria lupulina",NA,NA,NA,"Positive","N"
"Clerodendrum wallichii",NA,NA,NA,NA,"N"
"Combretum grandiflorum",NA,NA,NA,NA,"N"
"Digitaria fuscescens","Negative",NA,NA,NA,"N"
"Lactuca floridana",NA,NA,NA,NA,"N"
"Pelargonium peltatum",NA,NA,NA,NA,"N"
"Pelargonium zonale",NA,NA,NA,NA,"N"
"Sida repens","Negative",NA,NA,NA,"N"
"Protopterus aethiopicus aethiopicus",NA,NA,NA,NA,"N"
"Nelsonia canescens","Negative",NA,NA,"Positive","N"
"Odontonema cuspidatum",NA,NA,NA,NA,"N"
"Sanchezia speciosa",NA,NA,NA,NA,"N"
"Astatoreochromis alluaudi",NA,NA,NA,"Positive","N"
"Rauvolfia caffra",NA,NA,NA,"Positive","N"
"Phoenix canariensis",NA,NA,NA,"Negative","N"
"Phellinus noxius",NA,NA,NA,NA,"Y"
"Sechium edule",NA,NA,NA,NA,"N"
"Salvia splendens",NA,NA,NA,NA,"N"
"Salmonella","exclude","exclude","exclude","exclude","exclude"
"Salsola vermiculata","Negative","None","None, None","Positive","N"
"Rhadinaphelenchus cocophilus","exclude","exclude","exclude","exclude","exclude"
"Rhagoletis completa",NA,NA,NA,NA,"N"
"Rhagoletis fausta",NA,NA,NA,NA,"N"
"Rhagoletis mendax",NA,NA,NA,NA,"N"
"avian metapneumovirus","exclude","exclude","exclude","exclude","exclude"
"Babesia bovis","exclude","exclude","exclude","exclude","exclude"
"Babesia divergens","exclude","exclude","exclude","exclude","exclude"
"Babesia ovis","exclude","exclude","exclude","exclude","exclude"
"bovine genital campylobacteriosis",NA,NA,NA,NA,"N"
"bovine anaplasmosis",NA,NA,NA,NA,"N"
"bovine tuberculosis",NA,NA,NA,NA,"N"
"Carassius gibelio",NA,NA,"Negative",NA,"N"
"Carassius auratus auratus",NA,NA,NA,NA,"N"
"Carassius carassius",NA,NA,"Positive, Positive",NA,"N"
"Carassius cuvieri",NA,NA,NA,"Negative","N"
"Callosciurus erythraeus","Negative","Negative",NA,NA,"Y"
"Macrobrachium rosenbergii",NA,NA,"Positive, Positive",NA,"N"
"African swine fever virus","exclude","exclude","exclude","exclude","exclude"
"Caesalpinia violacea",NA,NA,NA,NA,"N"
"Clusia rosea",NA,NA,NA,NA,"N"
"Cupaniopsis anacardioides",NA,"None","None, None","None","N"
"Cenchrus echinatus",NA,NA,NA,NA,"N"
"Chrysanthemum stem necrosis virus","exclude","exclude","exclude","exclude","exclude"
"Ceratocystis fagacearum",NA,NA,NA,NA,"Y"
"Dendroctonus pseudotsugae",NA,NA,NA,NA,"Y"
"Dendroctonus rufipennis",NA,NA,NA,NA,"N"
"Coptotermes sjostedti",NA,"Negative, Negative","None, None, None, None","None, None","Y"
"Dendrolimus superans sibiricus",NA,"Negative","Negative, Negative","None","N"
"Cassava brown streak viruses","exclude","exclude","exclude","exclude","exclude"
"Calopogonium caeruleum","Negative",NA,NA,NA,"N"
"Diodia teres","Negative","None","None, None","None","N"
"Taura syndrome virus","exclude","exclude","exclude","exclude","exclude"
"Taylorella equigenitalis","exclude","exclude","exclude","exclude","exclude"
"Tritrichomonas foetus","exclude","exclude","exclude","exclude","exclude"
"Renibacterium salmoninarum","exclude","exclude","exclude","exclude","exclude"
"Toxoplasma gondii","exclude","exclude","exclude","exclude","exclude"
"Pylodictis olivaris",NA,NA,NA,NA,"N"
"viral hemorrhagic septicemia virus","exclude","exclude","exclude","exclude","exclude"
"Psittacus erithacus",NA,NA,NA,NA,"N"
"Acacia podalyriifolia",NA,NA,NA,NA,"N"
"Desmodium uncinatum",NA,NA,NA,NA,"N"
"Nephrolepis brownii",NA,NA,NA,NA,"Y"
"Lycium ferocissimum","Negative","None","None, None","None","N"
"Myicola ostreae","Negative",NA,"Negative",NA,"N"
"Myicola ostreae infestation",NA,NA,"Negative, Negative",NA,"N"
"Gaillardia pulchella",NA,NA,NA,"Positive","N"
"Pluchea indica","Negative",NA,NA,NA,"N"
"Clerodendrum bungei",NA,NA,NA,NA,"N"
"Clerodendrum chinense",NA,NA,NA,NA,"N"
"Clerodendrum speciosissimum",NA,NA,NA,NA,"N"
"Matsucoccus feytaudi",NA,NA,NA,NA,"N"
"Monomorium pharaonis",NA,NA,NA,"Negative","N"
"Sinapis arvensis",NA,NA,NA,NA,"N"
"Acrocarpus fraxinifolius",NA,NA,NA,NA,"N"
"Leptochloa chinensis",NA,NA,NA,NA,"N"
"Noctua pronuba",NA,NA,NA,NA,"N"
"Peltophorum pterocarpum",NA,NA,NA,NA,"Y"
"Icerya samaraia","Negative",NA,NA,NA,"N"
"Maize chlorotic mottle virus","exclude","exclude","exclude","exclude","exclude"
"Maesopsis eminii",NA,NA,NA,NA,"N"
"Orseolia oryzivora",NA,NA,NA,NA,"N"
"Arenga pinnata",NA,NA,NA,NA,"N"
"Phytoplasma prunorum","exclude","exclude","exclude","exclude","exclude"
"Oidium anacardii",NA,NA,NA,NA,"Y"
"Vachellia macracantha","Negative",NA,NA,NA,"N"
"Acacia mellifera",NA,NA,NA,NA,"N"
"Barleria cristata",NA,NA,NA,NA,"N"
"Barleria prionitis",NA,NA,NA,"Positive","N"
"Allium vineale",NA,NA,NA,NA,"N"
"Asphodelus tenuifolius",NA,NA,NA,NA,"N"
"Cestrum diurnum","Negative",NA,NA,"Negative","N"
"Averrhoa bilimbi",NA,NA,NA,"Positive","N"
"Dermatophilus congolensis","exclude","exclude","exclude","exclude","exclude"
"Ipomoea hildebrandtii",NA,NA,NA,NA,"N"
"Euryops chrysanthemoides",NA,NA,NA,NA,"N"
"Sturnus vulgaris","Negative",NA,NA,NA,"N"
"Xanthomonas oryzae pv. oryzicola","exclude","exclude","exclude","exclude","exclude"
"Tremex fuscicornis",NA,NA,NA,NA,"Y"
"Zoysia matrella",NA,NA,NA,NA,"N"
"Vinca major",NA,NA,NA,NA,"N"
"Crocosmia x crocosmiiflora",NA,NA,NA,NA,"N"
"Euwallacea destruens",NA,"Negative","None, None","None","Y"
"Xyleborus volvulus",NA,"Negative","None, None","None","N"
"Petricolaria pholadiformis",NA,NA,NA,NA,"N"
"Bidens frondosa",NA,NA,NA,NA,"Y"
"Leptocybe invasa",NA,"Negative",NA,NA,"N"
"Phytophthora austrocedri",NA,"Negative",NA,NA,"Y"
"Heracleum sosnowskyi","Negative",NA,NA,"Negative","N"
"Amylostereum areolatum",NA,"Negative",NA,NA,"Y"
"Eichhornia azurea","Negative",NA,NA,NA,"Y"
"Lemna minuta",NA,NA,NA,NA,"N"
"Sargassum muticum",NA,NA,"Negative",NA,"Y"
"Hedychium flavescens",NA,"Negative",NA,NA,"Y"
"Corbula amurensis",NA,NA,"Negative",NA,"N"
"Didymosphenia geminata",NA,NA,NA,NA,"Y"
"Spartina alterniflora","Negative",NA,"Negative",NA,"N"
"Cabomba caroliniana",NA,NA,"Negative","Positive and negative","N"
"Fallopia sachalinensis",NA,NA,NA,"None","Y"
"Typha x glauca","Negative",NA,NA,NA,"N"
"Nymphoides peltata",NA,NA,"Negative",NA,"N"
"Pelagia noctiluca",NA,NA,"Negative","Negative","N"
"Phalloceros caudimaculatus",NA,NA,NA,NA,"N"
"Polysiphonia brodiei",NA,NA,"Negative",NA,"Y"
"Arcuatula senhousia",NA,NA,"Negative",NA,"N"
"Alexandrium minutum","exclude","exclude","exclude","exclude","exclude"
"Alitta succinea",NA,NA,NA,NA,"N"
"Acanthophora spicifera",NA,NA,NA,NA,"N"
"Chthamalus proteus",NA,NA,NA,NA,"N"
"Codium fragile subsp. tomentosoides",NA,NA,"Negative",NA,"N"
"Dreissena rostriformis bugensis",NA,NA,NA,"Negative","N"
"Gracilaria salicornia",NA,NA,NA,NA,"N"
"Hypnea musciformis",NA,NA,NA,NA,"N"
"Limnoperna fortunei",NA,NA,"Negative",NA,"N"
"Acentrogobius pflaumii",NA,NA,NA,NA,"N"
"Varroa destructor","Negative",NA,NA,NA,"Y"
"Railways and roadsides (habitat)",NA,NA,NA,NA,"N"
"Emex australis","Negative","None","None, None","Negative","Y"
"Emex spinosa","Negative","None","None, None","Negative","N"
"Emilia sonchifolia","Negative",NA,NA,"Positive","N"
"Ferrisia virgata","Negative",NA,NA,NA,"N"
"Festuca arundinacea","Negative","Negative",NA,NA,"Y"
"Festuca pratensis",NA,NA,NA,NA,"N"
"Paspalum urvillei","Negative",NA,NA,NA,"Y"
"Noaea mucronata","Negative",NA,NA,NA,"N"
"Plantago coronopus",NA,NA,NA,NA,"N"
"avipox",NA,NA,NA,NA,"Y"
"Isatis tinctoria","Negative",NA,NA,NA,"Y"
"Ischaemum rugosum","Negative",NA,NA,NA,"Y"
"Grevillea robusta",NA,"None","None, None","Negative","Y"
"Gremmeniella abietina",NA,NA,NA,NA,"Y"
"Fusarium oxysporum f.sp. cubense",NA,"None","None, None","None","Y"
"Fusarium oxysporum f.sp. elaeidis",NA,NA,NA,NA,"Y"
"Hyparrhenia rufa",NA,NA,NA,"Positive and negative","N"
"Echinochloa crus-galli","Negative",NA,NA,NA,"Y"
"Echinochloa colona","Negative",NA,NA,NA,"Y"
"Harmonia axyridis",NA,"Positive","None, None","Negative","Y"
"Eclipta prostrata",NA,NA,NA,NA,"N"
"Verbesina encelioides","Negative",NA,NA,"Negative","N"
"Batrachochytrium dendrobatidis","Negative",NA,NA,NA,"Y"
"Brachidontes pharaonis",NA,NA,"Negative",NA,"N"
"Bunias orientalis","Negative",NA,NA,NA,"N"
"Centaurea iberica","Negative",NA,NA,NA,"N"
"Centaurea melitensis","Negative",NA,NA,NA,"Y"
"Channa marulius","Negative",NA,"Negative","Negative","N"
"Charybdis hellerii",NA,NA,NA,NA,"N"
"Gonionemus vertens",NA,NA,"Negative","Negative","N"
"Lagerstroemia indica",NA,NA,NA,NA,"N"
"Grateloupia turuturu","Negative",NA,"Negative",NA,"N"
"Hemigrapsus takanoi",NA,NA,"Negative",NA,"N"
"Limnoria lignorum",NA,NA,"Negative",NA,"Y"
"Limnoria quadripunctata",NA,NA,NA,NA,"Y"
"Ludwigia grandiflora",NA,NA,"Negative","Negative","N"
"Palaemon macrodactylus",NA,NA,NA,NA,"N"
"Persicaria perfoliata","Negative","Negative",NA,"Positive and negative","N"
"Pterois volitans",NA,NA,"Negative","Negative","N"
"Tilapia mariae",NA,NA,NA,NA,"N"
"Vespa velutina","Negative",NA,NA,"Negative","Y"
"Icerya purchasi",NA,"Negative","None, None","None","N"
"Gliricidia sepium",NA,"None","None, None","Positive and negative","Y"
"Iguana iguana","Negative",NA,NA,"Negative","N"
"Ficus microcarpa",NA,NA,NA,NA,"N"
"Ficus pumila","Negative",NA,NA,"Negative","N"
"Ficus religiosa",NA,NA,NA,NA,"Y"
"oomycete infections in fish",NA,NA,"Negative, Negative",NA,"Y"
"avian mycoplasmosis (Mycoplasma synoviae)",NA,NA,NA,NA,"N"
"Petiveria alliacea","Negative",NA,NA,"Positive and negative","N"
"Petromyzon marinus",NA,NA,"Negative",NA,"N"
"Littorina littorea","Negative",NA,NA,NA,"N"
"Molothrus bonariensis",NA,NA,NA,NA,"N"
"Nasua nasua",NA,NA,NA,NA,"N"
"Nasua narica",NA,NA,NA,NA,"N"
"Hypophthalmichthys molitrix",NA,NA,"Positive, Positive","Negative","N"
"Bothriocephalus acheilognathi infection",NA,NA,NA,NA,"N"
"Phyllocnistis citrella",NA,NA,NA,NA,"N"
"Botryosphaeria berengeriana f.sp. pyricola","Negative",NA,NA,NA,"Y"
"Prosopis juliflora","Negative","None","Negative","Negative","N"
"Cyclosorus parasiticus","Negative",NA,NA,NA,"N"
"Puccinia kuehnii",NA,"None","None, None","None","Y"
"Polistes dominula",NA,NA,NA,"Negative","Y"
"Austropuccinia psidii","Negative","Negative",NA,NA,"Y"
"Schefflera actinophylla",NA,"Negative",NA,NA,"N"
"Lobesia botrana","Negative",NA,NA,NA,"Y"
"Thekopsora areolata",NA,"Negative",NA,NA,"Y"
"Schizolobium parahyba",NA,NA,NA,NA,"Y"
"Geophagus brasiliensis",NA,NA,NA,NA,"N"
"Pethia conchonius",NA,NA,NA,NA,"N"
"Rocio octofasciata",NA,NA,NA,NA,"N"
"Pyrrhalta luteola",NA,NA,NA,NA,"Y"
"Trichopodus trichopterus",NA,NA,NA,NA,"N"
"Pinus caribaea",NA,NA,NA,NA,"Y"
"Pinus contorta",NA,"Negative",NA,NA,"Y"
"Parthenocissus quinquefolia",NA,NA,NA,NA,"N"
"Deroceras invadens","Negative",NA,NA,NA,"N"
"Rottboellia cochinchinensis","Negative",NA,NA,"Negative","Y"
"Phormium tenax",NA,NA,NA,NA,"N"
"Populus alba","Negative",NA,NA,NA,"Y"
"Phoracantha recurva",NA,NA,NA,NA,"N"
"Phoracantha semipunctata",NA,NA,NA,NA,"N"
"Plum pox virus","exclude","exclude","exclude","exclude","exclude"
"Megaplatypus mutatus",NA,"Negative",NA,NA,"Y"
"Salvinia auriculata",NA,NA,"Negative","Positive and negative","N"
"Salvinia molesta","Negative",NA,"Negative","Negative","N"
"Parkia biglobosa",NA,NA,NA,"Positive","Y"
"Rhododendron ponticum","Negative","Negative","None, None","None","Y"
"Phyllanthus urinaria","Negative",NA,NA,NA,"N"
"Amphibalanus improvisus",NA,NA,"Negative","Negative","N"
"brucellosis (Brucella ovis)",NA,NA,NA,NA,"N"
"brucellosis (Brucella melitensis)",NA,NA,NA,NA,"N"
"brucellosis (Brucella abortus)",NA,NA,NA,NA,"N"
"Anolis cristatellus",NA,NA,NA,NA,"N"
"Anolis trinitatis",NA,NA,NA,NA,"N"
"Bubalus bubalis","Negative",NA,NA,"Positive","N"
"Aspius aspius",NA,NA,NA,NA,"N"
"Astronotus ocellatus",NA,NA,NA,NA,"N"
"Ammotragus lervia","Negative",NA,NA,NA,"N"
"camel pox",NA,NA,NA,NA,"N"
"Aquila chrysaetos",NA,NA,NA,NA,"N"
"Canis lupus familiaris","Negative",NA,NA,NA,"N"
"Canis latrans","Negative",NA,NA,NA,"N"
"spring viraemia of carp",NA,NA,"Negative, Negative",NA,"N"
"Alburnus alburnus",NA,NA,NA,NA,"N"
"Anopheles quadrimaculatus","Negative",NA,NA,"Negative","Y"
"Callosobruchus chinensis",NA,NA,NA,NA,"N"
"Callosobruchus maculatus",NA,NA,NA,NA,"Y"
"Chilo suppressalis",NA,NA,NA,NA,"N"
"Chilo partellus",NA,NA,NA,NA,"N"
"Dalbergia sissoo",NA,NA,NA,NA,"Y"
"Cinnamomum burmanni",NA,NA,NA,"Positive","N"
"Cinnamomum camphora","Negative","None","None, None","None","N"
"Bursaphelenchus xylophilus","exclude","exclude","exclude","exclude","exclude"
"Cinnamomum verum",NA,NA,NA,"Positive","Y"
"Cinara cupressi sensu lato",NA,"Negative","None, None","Negative","N"
"Iris domestica",NA,NA,NA,"Negative","N"
"Mycosphaerella gibsonii",NA,"Negative",NA,NA,"Y"
"Ceratitis capitata","Negative","None","None, None","None","Y"
"Phoma tracheiphila","Negative",NA,NA,NA,"Y"
"Ceratitis rosa","Negative",NA,NA,"Negative","N"
"Delonix regia",NA,NA,NA,NA,"N"
"Corvus splendens","Negative",NA,NA,"Negative","N"
"Clematis vitalba","Negative","Negative","None, None","Negative","Y"
"Cymbopogon citratus",NA,NA,NA,NA,"Y"
"Crocidosema plebejana",NA,"None","None, None","None","N"
"Cronartium flaccidum",NA,"Negative",NA,NA,"Y"
"Cronartium ribicola",NA,NA,NA,NA,"Y"
"Crotalaria spectabilis","Negative",NA,NA,NA,"N"
"Ditylenchus angustus","exclude","exclude","exclude","exclude","exclude"
"Ditylenchus destructor","exclude","exclude","exclude","exclude","exclude"
"Ditylenchus dipsaci","exclude","exclude","exclude","exclude","exclude"
"Dioscorea alata",NA,NA,NA,NA,"N"
"Dioscorea bulbifera",NA,NA,NA,NA,"N"
"Datura metel","Negative",NA,NA,"Negative","N"
"Datura stramonium",NA,NA,NA,NA,"Y"
"tuberculosis",NA,NA,NA,NA,"N"
"tularaemia",NA,NA,NA,NA,"N"
"Tamias sibiricus",NA,NA,NA,"Negative","N"
"Trachemys scripta elegans",NA,NA,NA,"Negative","N"
"transmissible gastroenteritis and porcine respiratory coronovirus infection",NA,NA,NA,NA,"N"
"Varanus niloticus",NA,NA,NA,"Negative","N"
"vesicular stomatitis",NA,NA,NA,NA,"N"
"Phoxinus phoxinus",NA,NA,"Negative",NA,"N"
"Threskiornis aethiopicus",NA,NA,NA,NA,"N"
"Salmo salar",NA,NA,"Positive, Positive",NA,"N"
"Salmo trutta",NA,NA,"Positive, Positive",NA,"N"
"Sander lucioperca",NA,NA,"Negative",NA,"N"
"Sander vitreus",NA,NA,"Negative",NA,"N"
"Styela clava",NA,NA,"Negative","Negative","N"
"Pomacea canaliculata","Negative","Negative","Negative, Negative","Negative","N"
"Tylenchulus semipenetrans","exclude","exclude","exclude","exclude","exclude"
"Sporobolus pyramidalis","Negative",NA,NA,NA,"N"
"Rhithropanopeus harrisii",NA,NA,NA,NA,"N"
"Pectobacterium parmentieri","exclude","exclude","exclude","exclude","exclude"
"Oplismenus hirtellus subsp. undulatifolius",NA,NA,NA,NA,"N"
"Opuntia engelmannii","Negative",NA,NA,NA,"N"
"Vulpia bromoides","Negative",NA,NA,NA,"N"
"Vulpia myuros","Negative",NA,NA,NA,"Y"
"Liriomyza cicerina","Negative",NA,NA,NA,"N"
"Liriomyza huidobrensis",NA,"None","None, None","None","N"
"Liriomyza trifolii",NA,NA,NA,NA,"Y"
"Lissorhoptrus oryzophilus",NA,"None","None, None","None","Y"
"Procambarus fallax f. virginalis","Negative",NA,"Negative",NA,"N"
"Rhamphicarpa fistulosa","Negative",NA,NA,NA,"Y"
"Crassula ovata",NA,NA,NA,"Positive and negative","Y"
"Abutilon hirtum","Negative",NA,NA,"Positive","N"
"Aristolochia ringens",NA,NA,NA,"Negative","N"
"Antigonon leptopus",NA,NA,NA,NA,"N"
"Macrothelypteris torresiana",NA,NA,NA,NA,"Y"
"Plectranthus scutellarioides",NA,NA,NA,NA,"N"
"Leucaena diversifolia",NA,"None","None, None","None","N"
"Leucaena leucocephala",NA,"None","None, None","None","N"
"Monochamus alternatus",NA,NA,NA,NA,"N"
"Erigeron karvinskianus",NA,NA,NA,NA,"N"
"Monochamus sutor",NA,"Negative","None, None","None","N"
"Monilinia fructigena","Negative",NA,NA,NA,"Y"
"Erodium botrys",NA,NA,NA,NA,"N"
"Ludwigia hyssopifolia","Negative",NA,NA,NA,"N"
"Ludwigia peploides","Negative",NA,"Negative","Negative","N"
"Sporobolus africanus","Negative",NA,NA,"Positive","N"
"Sporobolus pyramidatus",NA,NA,NA,NA,"Y"
"Squalius cephalus",NA,NA,NA,NA,"N"
"Mononychellus tanajoa","Negative",NA,NA,"Negative","N"
"Luffa acutangula",NA,NA,NA,NA,"N"
"Stachytarpheta cayennensis",NA,NA,NA,"Positive","N"
"Stachytarpheta urticifolia",NA,NA,NA,NA,"N"
"Moniliophthora roreri","Negative",NA,NA,NA,"Y"
"Cenchrus biflorus","Negative",NA,NA,NA,"Y"
"Leucoptera malifoliella",NA,NA,NA,NA,"Y"
"Centaurea debeauxii","Negative",NA,NA,NA,"Y"
"Parentucellia viscosa",NA,NA,NA,NA,"N"
"Paspalum paniculatum","Negative",NA,NA,NA,"N"
"Pennisetum clandestinum","Negative","Negative",NA,NA,"Y"
"Pennisetum pedicellatum","Negative","None","None, None","None","Y"
"Passiflora caerulea",NA,NA,NA,NA,"N"
"Passiflora ligularis","Negative",NA,NA,NA,"N"
"Pennisetum polystachion","Negative",NA,NA,NA,"N"
"Pennisetum purpureum","Negative",NA,NA,NA,"N"
"Artocarpus altilis",NA,NA,NA,"Positive and negative","N"
"Maliarpha separatella",NA,NA,NA,NA,"Y"
"Haplaxius crudus","Negative",NA,NA,NA,"N"
"Aproceros leucopoda",NA,NA,NA,NA,"N"
"Morella faya",NA,"None","None, None","None","N"
"Elymus repens",NA,NA,NA,NA,"N"
"Arceuthobium americanum","Negative","Negative","None, None","None","N"
"Mimosa pudica","Negative","None","None, None","Negative","Y"
"Agrilus planipennis",NA,"Negative",NA,NA,"N"
"Argemone mexicana","Negative","None","None, None","Negative","Y"
"Lolium multiflorum","Negative","None","None, None","None","Y"
"Lolium perenne",NA,NA,NA,NA,"Y"
"Lolium rigidum","Negative","None","None, None","Negative","N"
"Lolium temulentum","Negative","None","None, None","Negative","Y"
"Mirabilis jalapa","Negative",NA,NA,"Negative","Y"
"Olea europaea subsp. europaea",NA,NA,NA,NA,"N"
"Miscanthus sinensis",NA,NA,NA,NA,"N"
"Lonicera japonica","Negative","Negative","None, None","None","Y"
"Lonicera maackii",NA,NA,NA,NA,"Y"
"Lonicera morrowii",NA,NA,NA,"Negative","N"
"African cassava mosaic virus","exclude","exclude","exclude","exclude","exclude"
"Bactrocera latifrons",NA,NA,NA,NA,"N"
"Anastrepha fraterculus","Negative",NA,NA,NA,"N"
"Anastrepha grandis","Negative",NA,NA,NA,"N"
"Bactrocera musae","Negative",NA,NA,NA,"N"
"Anastrepha ludens","Negative",NA,NA,NA,"N"
"Anastrepha obliqua","Negative",NA,NA,NA,"N"
"Anastrepha serpentina","Negative",NA,NA,NA,"N"
"Anastrepha striata","Negative",NA,NA,NA,"N"
"Anastrepha suspensa","Negative",NA,NA,NA,"N"
"Aceria guerreronis",NA,NA,NA,NA,"N"
"Bactrocera tau",NA,NA,NA,NA,"N"
"Anthemis cotula","Negative","Negative","None, None","Negative","N"
