Kingdom,Phylum,Class,Order,Family,Genus,Species,Species2,Environment_IAS,Kingdom_new,CoarseGroups,FineGroups,coarse_group,coarse_group_unspecified,fine_group,Sp_Focus,Species_new,Official_country,Origin,Source,Description,CBD_Mechanism_initial,CBD_Cat_inital,Description2,CBD_Mechanism2,CBD_Cat2,CBD_Mechanism_order,CBD_Cat_order,Description_order,pathway_count,CBD_subcategory,CBD_pathway,CBD_Mechanism,Direct_or_Indirect,Primary_or_Secondary,CountrySpecific,RemovePathways,Checkedby_00,Checkedby,Double_checkedby,Notes
Animalia,Arthropoda,Insecta,Lepidoptera,Gracillariidae,Cameraria,Cameraria ohridella,Cameraria ohridella,terrestrial,Animalia,terrestrial invertebrate,terrestrial arthropod,Insect,Insect,Insect,single,Cameraria ohridella,Germany,,CABI,"horticulture, nursery trade",Movement of COMMODITY,TRANSPORT_CONTAMINANT,Horticulture,Movement of COMMODITY,TRANSPORT_CONTAMINANT,1_Movement of COMMODITY,13_TRANSPORT_CONTAMINANT,13_Horticulture,2,Horticulture,Escape,Movement of COMMODITY,Indirect,Primary,No,No,,Emma,,
Animalia,Arthropoda,Insecta,Lepidoptera,Gracillariidae,Cameraria,Cameraria ohridella,Cameraria ohridella,terrestrial,Animalia,terrestrial invertebrate,terrestrial arthropod,Insect,Insect,Insect,single,Cameraria ohridella,Germany,,CABI,Horticulture,Movement of COMMODITY,TRANSPORT_CONTAMINANT,Horticulture,Movement of COMMODITY,TRANSPORT_CONTAMINANT,1_Movement of COMMODITY,13_TRANSPORT_CONTAMINANT,13_Horticulture,2,Horticulture,Escape,Movement of COMMODITY,Indirect,Primary,No,No,,Emma,,
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Canis lupus,terrestrial,Animalia,terrestrial vertebrate,terrestrial mammal,Mammal,Mammal,Mammal,single,Canis lupus familiaris,Australia,,CABI,Pet trade,Movement of COMMODITY,ESCAPE,Pet trade,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Pet trade,1,Pet,Escape,Movement of COMMODITY,Direct,Primary,No,No,,Emma,,
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Canis lupus,terrestrial,Animalia,terrestrial vertebrate,terrestrial mammal,Mammal,Mammal,Mammal,single,Canis lupus familiaris,France,,CABI,Pet trade,Movement of COMMODITY,ESCAPE,Pet trade,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Pet trade,1,Pet,Escape,Movement of COMMODITY,Direct,Primary,No,No,,Emma,,
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Canis lupus,terrestrial,Animalia,terrestrial vertebrate,terrestrial mammal,Mammal,Mammal,Mammal,single,Canis lupus familiaris,USA,,CABI,Pet trade,Movement of COMMODITY,ESCAPE,Pet trade,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Pet trade,1,Pet,Escape,Movement of COMMODITY,Direct,Primary,No,No,,Emma,,
Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra hircus,Capra hircus,terrestrial,Animalia,terrestrial vertebrate,terrestrial mammal,Mammal,Mammal,Mammal,single,Canis lupus familiaris,Australia,,GISD,Food,Movement of COMMODITY,RELEASE,Food,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Food,1,Farmed animals,Escape,Movement of COMMODITY,Direct,Primary,No,No,,Emma,,
Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra hircus,Capra hircus,terrestrial,Animalia,terrestrial vertebrate,terrestrial mammal,Mammal,Mammal,Mammal,single,Canis lupus familiaris,Ecuador,,GISD,Food,Movement of COMMODITY,RELEASE,Food,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Food,1,Farmed animals,Escape,Movement of COMMODITY,Direct,Primary,No,No,,Emma,,
Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra hircus,Capra hircus,terrestrial,Animalia,terrestrial vertebrate,terrestrial mammal,Mammal,Mammal,Mammal,single,Canis lupus familiaris,New Zealand,,GISD,Food,Movement of COMMODITY,RELEASE,Food,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Food,1,Farmed animals,Escape,Movement of COMMODITY,Direct,Primary,No,No,,Emma,,
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,Carassius auratus,Carassius auratus,aquatic,Animalia,aquatic vertebrate,aquatic fish,Fish,Fish,Fish,single,Carassius auratus,Spain,NA,NA,Ornamental purposes,Movement of COMMODITY,ESCAPE,Ornamental purposes,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Ornamental purposes,1,Ornamental,Escape,Movement of COMMODITY,Direct,Primary,No,No,,Emma,,
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,Carassius auratus,Carassius auratus,aquatic,Animalia,aquatic vertebrate,aquatic fish,Fish,Fish,Fish,single,Carassius auratus,Spain,NA,NA,Pet trade,Movement of COMMODITY,ESCAPE,Pet trade,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Pet trade,1,Pet,Escape,Movement of COMMODITY,Direct,Primary,No,No,,Emma,,
Animalia,Arthropoda,Malacostraca,Decapoda,Carcinidae,Carcinus,Carcinus maenas,Carcinus maenas,aquatic,Animalia,aquatic invertebrate,aquatic arthropod,Decapod,Decapod,Decapod,single,Carcinus maenas,Canada,,CABI,Aquaculture (pathway cause),Movement of COMMODITY,ESCAPE FROM CONFINEMENT,Aquaculture,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Aquaculture,5,Aquaculture,Escape,Movement of COMMODITY,Indirect,Secondary,No,,Melina,Melina,,
Animalia,Arthropoda,Malacostraca,Decapoda,Carcinidae,Carcinus,Carcinus maenas,Carcinus maenas,aquatic,Animalia,aquatic invertebrate,aquatic arthropod,Decapod,Decapod,Decapod,single,Carcinus maenas,Canada,,CABI,Aquaculture stock (pathway vector),VECTOR,TRANSPORT _ STOWAWAY,Aquaculture stock,Movement of COMMODITY,TRANSPORT_CONTAMINANT,1_Movement of COMMODITY,13_TRANSPORT_CONTAMINANT,13_Aquaculture,5,Aquaculture,Escape,Movement of COMMODITY,Indirect,Secondary,No,,Melina,Melina,,
Animalia,Arthropoda,Malacostraca,Decapoda,Carcinidae,Carcinus,Carcinus maenas,Carcinus maenas,aquatic,Animalia,aquatic invertebrate,aquatic arthropod,Decapod,Decapod,Decapod,single,Carcinus maenas,Canada,,CABI,Pet trade (pathway cause),Movement of COMMODITY,ESCAPE FROM CONFINEMENT,Pet trade,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Pet trade,5,Pet,Escape,Movement of COMMODITY,Indirect,Secondary,No,,Melina,Melina,,
Animalia,Arthropoda,Malacostraca,Decapoda,Carcinidae,Carcinus,Carcinus maenas,Carcinus maenas,aquatic,Animalia,aquatic invertebrate,aquatic arthropod,Decapod,Decapod,Decapod,single,Carcinus maenas,Canada,,CABI,Pets and aquarium species (pathway vector),VECTOR,TRANSPORT _ STOWAWAY,Pet trade,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Pet trade,5,Pet,Escape,Movement of COMMODITY,Indirect,Secondary,No,,Melina,Melina,,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Carpobrotus,Carpobrotus edulis,Carpobrotus edulis,terrestrial,Plantae,terrestrial plant,terrestrial succulent,Plant,Plant,TerrestrialPlant,single,Carpobrotus edulis,Spain,,CABI,Botanical gardens and zoos (pathway cause),Movement of COMMODITY,ESCAPE FROM CONFINEMENT,Botanical gardens and zoos,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Botanical gardens and zoos,3,Botanical gardens & Zoos,Escape,Movement of COMMODITY,Direct,Secondary,No,No,,Emma,,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Carpobrotus,Carpobrotus edulis,Carpobrotus edulis,terrestrial,Plantae,terrestrial plant,terrestrial succulent,Plant,Plant,TerrestrialPlant,single,Carpobrotus edulis,Spain,,CABI,Horticulture (pathway cause),Movement of COMMODITY,ESCAPE FROM CONFINEMENT,Horticulture,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Horticulture,3,Horticulture,Escape,Movement of COMMODITY,Direct,Primary,No,No,,Emma,,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Carpobrotus,Carpobrotus edulis,Carpobrotus edulis,terrestrial,Plantae,terrestrial plant,terrestrial succulent,Plant,Plant,TerrestrialPlant,single,Carpobrotus edulis,Spain,,CABI,Nursery trade (pathway cause),Movement of COMMODITY,ESCAPE FROM CONFINEMENT,Nursery trade,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Nursery trade,3,Horticulture,Escape,Movement of COMMODITY,Direct,Primary,No,No,,Emma,,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Carpobrotus,Carpobrotus edulis,Carpobrotus edulis,terrestrial,Plantae,terrestrial plant,terrestrial succulent,Plant,Plant,TerrestrialPlant,single,Carpobrotus edulis,Spain,,CABI,Internet sales (pathway cause),Movement of COMMODITY,ESCAPE FROM CONFINEMENT,Internet sales,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Internet sales,3,Ornamental,Escape,Movement of COMMODITY,Direct,Primary,No,No,,Emma,,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Carpobrotus,Carpobrotus edulis,Carpobrotus edulis,terrestrial,Plantae,terrestrial plant,terrestrial succulent,Plant,Plant,TerrestrialPlant,single,Carpobrotus edulis,Spain,,CABI,Ornamental purposes (pathway cause),Movement of COMMODITY,ESCAPE FROM CONFINEMENT,Ornamental purposes,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Ornamental purposes,3,Ornamental,Escape,Movement of COMMODITY,Direct,Primary,No,No,,Emma,,
Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Caulerpaceae,Caulerpa,Caulerpa taxifolia,Caulerpa taxifolia,aquatic,Plantae,aquatic plant,aquatic submerged,Plant,Plant,SAQPlant,single,Caulerpa taxifolia,Australia,,CABI,Fisheries (pathway cause),Movement of COMMODITY,TRANSPORT _ CONTAMINANT,Fisheries,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Fisheries,2,Fishery in wild,Release,Movement of COMMODITY,Direct,Secondary,No,No,,Emma,,
Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Caulerpaceae,Caulerpa,Caulerpa taxifolia,Caulerpa taxifolia,aquatic,Plantae,aquatic plant,aquatic submerged,Plant,Plant,SAQPlant,single,Caulerpa taxifolia,France,,CABI,Fisheries (pathway cause),Movement of COMMODITY,TRANSPORT _ CONTAMINANT,Fisheries,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Fisheries,2,Fishery in wild,Release,Movement of COMMODITY,Direct,Secondary,No,No,,Emma,,
Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Caulerpaceae,Caulerpa,Caulerpa taxifolia,Caulerpa taxifolia,aquatic,Plantae,aquatic plant,aquatic submerged,Plant,Plant,SAQPlant,single,Caulerpa taxifolia,USA,,CABI,Fisheries (pathway cause),Movement of COMMODITY,TRANSPORT _ CONTAMINANT,Fisheries,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Fisheries,2,Fishery in wild,Release,Movement of COMMODITY,Direct,Secondary,No,No,,Emma,,
Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Caulerpaceae,Caulerpa,Caulerpa taxifolia,Caulerpa taxifolia,aquatic,Plantae,aquatic plant,aquatic submerged,Plant,Plant,SAQPlant,single,Caulerpa taxifolia,Australia,,CABI,Internet sales (pathway cause),Movement of COMMODITY,ESCAPE FROM CONFINEMENT,Internet sales,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Internet sales,2,Ornamental,Escape,Movement of COMMODITY,Direct,Secondary,No,No,,Emma,,
Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Caulerpaceae,Caulerpa,Caulerpa taxifolia,Caulerpa taxifolia,aquatic,Plantae,aquatic plant,aquatic submerged,Plant,Plant,SAQPlant,single,Caulerpa taxifolia,Australia,,GISD,Ornamental purposes,Movement of COMMODITY,RELEASE IN NATURE,Ornamental purposes,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Ornamental purposes,2,Ornamental,Escape,Movement of COMMODITY,Direct,Secondary,No,No,,Emma,,
Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Caulerpaceae,Caulerpa,Caulerpa taxifolia,Caulerpa taxifolia,aquatic,Plantae,aquatic plant,aquatic submerged,Plant,Plant,SAQPlant,single,Caulerpa taxifolia,France,,CABI,Internet sales (pathway cause),Movement of COMMODITY,ESCAPE FROM CONFINEMENT,Internet sales,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Internet sales,2,Ornamental,Escape,Movement of COMMODITY,Direct,Secondary,No,No,,Emma,,
Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Caulerpaceae,Caulerpa,Caulerpa taxifolia,Caulerpa taxifolia,aquatic,Plantae,aquatic plant,aquatic submerged,Plant,Plant,SAQPlant,single,Caulerpa taxifolia,France,,GISD,Ornamental purposes,Movement of COMMODITY,RELEASE IN NATURE,Ornamental purposes,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Ornamental purposes,2,Ornamental,Escape,Movement of COMMODITY,Direct,Secondary,No,No,,Emma,,
Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Caulerpaceae,Caulerpa,Caulerpa taxifolia,Caulerpa taxifolia,aquatic,Plantae,aquatic plant,aquatic submerged,Plant,Plant,SAQPlant,single,Caulerpa taxifolia,USA,,CABI,Internet sales (pathway cause),Movement of COMMODITY,ESCAPE FROM CONFINEMENT,Internet sales,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Internet sales,2,Ornamental,Escape,Movement of COMMODITY,Direct,Secondary,No,No,,Emma,,
Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Caulerpaceae,Caulerpa,Caulerpa taxifolia,Caulerpa taxifolia,aquatic,Plantae,aquatic plant,aquatic submerged,Plant,Plant,SAQPlant,single,Caulerpa taxifolia,USA,,GISD,Ornamental purposes,Movement of COMMODITY,RELEASE IN NATURE,Ornamental purposes,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Ornamental purposes,2,Ornamental,Escape,Movement of COMMODITY,Direct,Secondary,No,No,,Emma,,
Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Caulerpaceae,Caulerpa,Caulerpa taxifolia,Caulerpa taxifolia,aquatic,Plantae,aquatic plant,aquatic submerged,Plant,Plant,SAQPlant,single,Caulerpa taxifolia,Australia,,CABI,Pet trade (pathway cause),Movement of COMMODITY,ESCAPE FROM CONFINEMENT,Pet trade,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Pet trade,2,Pet,Escape,Movement of COMMODITY,Direct,Secondary,No,No,,Emma,,
Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Caulerpaceae,Caulerpa,Caulerpa taxifolia,Caulerpa taxifolia,aquatic,Plantae,aquatic plant,aquatic submerged,Plant,Plant,SAQPlant,single,Caulerpa taxifolia,Australia,,GISD,Pet trade,Movement of COMMODITY,RELEASE IN NATURE,Pet trade,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Pet trade,2,Pet,Escape,Movement of COMMODITY,Direct,Secondary,No,No,,Emma,,
Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Caulerpaceae,Caulerpa,Caulerpa taxifolia,Caulerpa taxifolia,aquatic,Plantae,aquatic plant,aquatic submerged,Plant,Plant,SAQPlant,single,Caulerpa taxifolia,Australia,,CABI,Pets and aquarium species (pathway vector),VECTOR,TRANSPORT _ STOWAWAY,Pet trade,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Pet trade,2,Pet,Escape,Movement of COMMODITY,Direct,Secondary,No,No,,Emma,,
Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Caulerpaceae,Caulerpa,Caulerpa taxifolia,Caulerpa taxifolia,aquatic,Plantae,aquatic plant,aquatic submerged,Plant,Plant,SAQPlant,single,Caulerpa taxifolia,France,,CABI,Pet trade (pathway cause),Movement of COMMODITY,ESCAPE FROM CONFINEMENT,Pet trade,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Pet trade,2,Pet,Escape,Movement of COMMODITY,Direct,Primary,No,No,,Emma,,
Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Caulerpaceae,Caulerpa,Caulerpa taxifolia,Caulerpa taxifolia,aquatic,Plantae,aquatic plant,aquatic submerged,Plant,Plant,SAQPlant,single,Caulerpa taxifolia,France,,GISD,Pet trade,Movement of COMMODITY,RELEASE IN NATURE,Pet trade,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Pet trade,2,Pet,Escape,Movement of COMMODITY,Direct,Primary,No,No,,Emma,,
Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Caulerpaceae,Caulerpa,Caulerpa taxifolia,Caulerpa taxifolia,aquatic,Plantae,aquatic plant,aquatic submerged,Plant,Plant,SAQPlant,single,Caulerpa taxifolia,France,,CABI,Pets and aquarium species (pathway vector),VECTOR,TRANSPORT _ STOWAWAY,Pet trade,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Pet trade,2,Pet,Escape,Movement of COMMODITY,Direct,Primary,No,No,,Emma,,
Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Caulerpaceae,Caulerpa,Caulerpa taxifolia,Caulerpa taxifolia,aquatic,Plantae,aquatic plant,aquatic submerged,Plant,Plant,SAQPlant,single,Caulerpa taxifolia,USA,,CABI,Pet trade (pathway cause),Movement of COMMODITY,ESCAPE FROM CONFINEMENT,Pet trade,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Pet trade,2,Pet,Escape,Movement of COMMODITY,Direct,Primary,No,No,,Emma,,
Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Caulerpaceae,Caulerpa,Caulerpa taxifolia,Caulerpa taxifolia,aquatic,Plantae,aquatic plant,aquatic submerged,Plant,Plant,SAQPlant,single,Caulerpa taxifolia,USA,,GISD,Pet trade,Movement of COMMODITY,RELEASE IN NATURE,Pet trade,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Pet trade,2,Pet,Escape,Movement of COMMODITY,Direct,Primary,No,No,,Emma,,
Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Caulerpaceae,Caulerpa,Caulerpa taxifolia,Caulerpa taxifolia,aquatic,Plantae,aquatic plant,aquatic submerged,Plant,Plant,SAQPlant,single,Caulerpa taxifolia,USA,,CABI,Pets and aquarium species (pathway vector),VECTOR,TRANSPORT _ STOWAWAY,Pet trade,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Pet trade,2,Pet,Escape,Movement of COMMODITY,Direct,Primary,No,No,,Emma,,
Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cenchrus,Cenchrus ciliaris,Cenchrus ciliaris,terrestrial,Plantae,terrestrial plant,terrestrial grass,Plant,Plant,TerrestrialPlant,single,Cenchrus ciliaris,Australia,,GISD,pasture grass,Movement of COMMODITY,RELEASE IN NATURE,Agricultural Practices,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Agricultural Practices,5,Agriculture,Escape,Movement of COMMODITY,Direct,Secondary,No,No,,Emma,,
Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cenchrus,Cenchrus ciliaris,Cenchrus ciliaris,terrestrial,Plantae,terrestrial plant,terrestrial grass,Plant,Plant,TerrestrialPlant,single,Cenchrus ciliaris,Australia,,CABI,Crop production (pathway cause),Movement of COMMODITY,ESCAPE FROM CONFINEMENT,Crop production,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Crop production,5,Agriculture,Escape,Movement of COMMODITY,Direct,Secondary,No,No,,Emma,,
Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cenchrus,Cenchrus ciliaris,Cenchrus ciliaris,terrestrial,Plantae,terrestrial plant,terrestrial grass,Plant,Plant,TerrestrialPlant,single,Cenchrus ciliaris,Australia,,CABI,Forage (pathway cause),Movement of COMMODITY,TRANSPORT _ CONTAMINANT,Forage,Movement of COMMODITY,TRANSPORT_CONTAMINANT,1_Movement of COMMODITY,13_TRANSPORT_CONTAMINANT,13_Forage,5,Agriculture,Escape,Movement of COMMODITY,Direct,Primary,No,No,,Emma,,
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Cenchrus,Cenchrus clandestinus,Cenchrus clandestinus,terrestrial,Plantae,terrestrial plant,terrestrial grass,Plant,Plant,TerrestrialPlant,single,Cenchrus clandestinus,Colombia,,GISD,Used as a pasture grass,Movement of COMMODITY,ESCAPE,Forage,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Forage,1,Agriculture,Escape,Movement of COMMODITY,Direct,Primary,No,No,,Emma,,
Plantae,Tracheophyta,Liliopsida,Cyperales,Poaceae,Cenchrus,Cenchrus clandestinus,Cenchrus clandestinus,terrestrial,Plantae,terrestrial plant,terrestrial grass,Plant,Plant,TerrestrialPlant,single,Cenchrus clandestinus,South Africa,NA,GISD,Used as a pasture grass,Movement of COMMODITY,ESCAPE,Forage,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Forage,1,Agriculture,Escape,Movement of COMMODITY,Direct,Primary,No,No,,Emma,,
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Cenchrus,Cenchrus clandestinus,Cenchrus clandestinus,terrestrial,Plantae,terrestrial plant,terrestrial grass,Plant,Plant,TerrestrialPlant,single,Cenchrus clandestinus,Colombia,,GISD,Used as a lawn grass,Movement of COMMODITY,RELEASE,Ornamental purposes,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Ornamental purposes,1,Ornamental,Escape,Movement of COMMODITY,Direct,Secondary,No,No,,Emma,,
Plantae,Tracheophyta,Liliopsida,Cyperales,Poaceae,Cenchrus,Cenchrus clandestinus,Cenchrus clandestinus,terrestrial,Plantae,terrestrial plant,terrestrial grass,Plant,Plant,TerrestrialPlant,single,Cenchrus clandestinus,South Africa,NA,GISD,Used as a lawn grass,Movement of COMMODITY,RELEASE,Ornamental purposes,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Ornamental purposes,1,Ornamental,Escape,Movement of COMMODITY,Direct,Secondary,No,No,,Emma,,
Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cenchrus,Cenchrus longisetus,Cenchrus longisetus,terrestrial,Plantae,terrestrial plant,terrestrial grass,Plant,Plant,TerrestrialPlant,single,Cenchrus longisetus,Spain,NA,"El Mokni, R. & Verloove, F.: New records, distribution and taxonomic notes for non-native vascular",Horticulture,Movement of COMMODITY,ESCAPE,Horticulture,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Horticulture,2,Horticulture,Escape,Movement of COMMODITY,Indirect,Primary,No,No,,Emma,,
,,,,,,,,,,,,,,,,,,,"flora of Tunisia _ I. Poaceae. † Fl. Medit. 29: 45-53. 2019. † ISSN: 1120-4052 printed,",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,2240-4538 online.,,,,,,,,,,,,,,,,,,,,,
Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cenchrus,Cenchrus longisetus,Cenchrus longisetus,terrestrial,Plantae,terrestrial plant,terrestrial grass,Plant,Plant,TerrestrialPlant,single,Cenchrus longisetus,Spain,NA,"Lazzaro, L., Ferretti, G., Giuliani, C. and Foggi, B., 2014. A checklist of the alien flora of the Tuscan Archipelago (Italy). Webbia, 69(1), pp.157-176.",Ornamental purposes,Movement of COMMODITY,ESCAPE,Ornamental purposes,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Ornamental purposes,2,Ornamental,Escape,Movement of COMMODITY,Indirect,Primary,No,No,,Emma,,
Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cenchrus,Cenchrus setaceus,Cenchrus setaceus,terrestrial,Plantae,terrestrial plant,terrestrial grass,Plant,Plant,TerrestrialPlant,single,Cenchrus setaceus,Spain,North Africa | Arabic peninsula,CABI,Animal production,Movement of COMMODITY,ESCAPE,Animal production,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Animal production,5,Agriculture,Escape,Movement of COMMODITY,Direct,Secondary,No,No,,Emma,,
Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cenchrus,Cenchrus setaceus,Cenchrus setaceus,terrestrial,Plantae,terrestrial plant,terrestrial grass,Plant,Plant,TerrestrialPlant,single,Cenchrus setaceus,Spain,North Africa | Arabic peninsula,CABI,Horticulture,Movement of COMMODITY,ESCAPE,Horticulture,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Horticulture,5,Horticulture,Escape,Movement of COMMODITY,Direct,Primary,No,No,,Emma,,
Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cenchrus,Cenchrus setaceus,Cenchrus setaceus,terrestrial,Plantae,terrestrial plant,terrestrial grass,Plant,Plant,TerrestrialPlant,single,Cenchrus setaceus,Spain,North Africa | Arabic peninsula,CABI,Nursery trade,Movement of COMMODITY,ESCAPE,Nursery trade,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Nursery trade,5,Horticulture,Escape,Movement of COMMODITY,Direct,Primary,No,No,,Emma,,
Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cenchrus,Cenchrus setaceus,Cenchrus setaceus,terrestrial,Plantae,terrestrial plant,terrestrial grass,Plant,Plant,TerrestrialPlant,single,Cenchrus setaceus,Spain,North Africa | Arabic peninsula,CABI,Seed trade,Movement of COMMODITY,ESCAPE,Seed trade,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Seed trade,5,Horticulture,Escape,Movement of COMMODITY,Direct,Primary,No,No,,Emma,,
Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cenchrus,Cenchrus setaceus,Cenchrus setaceus,terrestrial,Plantae,terrestrial plant,terrestrial grass,Plant,Plant,TerrestrialPlant,single,Cenchrus setaceus,Spain,North Africa | Arabic peninsula,CABI,Internet sales,Movement of COMMODITY,ESCAPE,Internet sales,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Internet sales,5,Ornamental,Escape,Movement of COMMODITY,Direct,Secondary,No,No,,Emma,,
